GENE 	STK32B 	PDGFRA 	VCAN 	PTPRZ1 	AFAP1L2 	HIP1R 	SMOC1 	MEGF11 	CSPG4 	FERMT1 	TNR 	PCDH15 	MYT1 	LHFPL3 	DSCAM
STK32B 	1	0.67	0.59	0.73	0.49	0.4	0.48	0.53	0.49	0.55	0.76	0.64	0.71	0.8	0.5
PDGFRA 	NA 	1	0.84	0.92	0.71	0.56	0.78	0.74	0.8	0.69	1.13	0.76	0.91	0.86	0.74
VCAN 	NA 	NA 	1	0.89	0.63	0.68	0.73	0.79	0.63	0.73	0.93	0.66	0.65	0.73	0.6
PTPRZ1 	NA 	NA 	NA 	1	0.5	0.44	0.5	0.63	0.56	0.54	0.9	0.82	0.72	1.03	0.63
AFAP1L2 	NA 	NA 	NA 	NA 	1	0.57	0.62	0.58	0.49	0.64	0.84	0.49	0.6	0.66	0.56
HIP1R 	NA 	NA 	NA 	NA 	NA 	1	0.87	0.71	0.79	0.53	0.71	0.53	0.68	0.37	0.64
SMOC1 	NA 	NA 	NA 	NA 	NA 	NA 	1	0.9	0.94	0.76	0.92	0.57	0.78	0.55	0.66
MEGF11 	NA 	NA 	NA 	NA 	NA 	NA 	NA 	1	0.73	0.77	0.95	0.56	0.76	0.65	0.85
CSPG4 	NA 	NA 	NA 	NA 	NA 	NA 	NA 	NA 	1	0.52	0.8	0.55	0.91	0.53	0.69
FERMT1 	NA 	NA 	NA 	NA 	NA 	NA 	NA 	NA 	NA 	1	0.83	0.66	0.63	0.58	0.64
TNR 	NA 	NA 	NA 	NA 	NA 	NA 	NA 	NA 	NA 	NA 	1	0.78	0.96	0.98	1.02
PCDH15 	NA 	NA 	NA 	NA 	NA 	NA 	NA 	NA 	NA 	NA 	NA 	1	0.81	0.7	0.77
MYT1 	NA 	NA 	NA 	NA 	NA 	NA 	NA 	NA 	NA 	NA 	NA 	NA 	1	0.82	0.82
LHFPL3 	NA 	NA 	NA 	NA 	NA 	NA 	NA 	NA 	NA 	NA 	NA 	NA 	NA 	1	0.61
DSCAM	NA 	NA 	NA 	NA 	NA 	NA 	NA 	NA 	NA 	NA 	NA 	NA 	NA 	NA 	1
