gene	gene_name	zscore	effect_size	pvalue	var_g	pred_perf_r2	pred_perf_pval	pred_perf_qval	n_snps_used	n_snps_in_cov	n_snps_in_model	CHR	POS							
ENSG00000160712	IL6R	24.96637346	0.241817886	1.42E-137	0.030919678	0.069148475	4.65E-12	2.06E-11	5	6	6	1	154377669							
ENSG00000115216	NRBP1	19.59844823	0.195005587	1.59E-85	0.031198865	0.054314352	1.03E-09	3.99E-09	13	14	14	2	27650657							
ENSG00000157837	SPPL3	-19.54694396	-0.211210134	4.38E-85	0.024364244	0.019242678	0.000316573	0.00080357	31	32	32	12	121200313							
ENSG00000135114	OASL	-15.69811239	-0.066724633	1.56E-55	0.179709174	0.167935414	1.61E-28	1.52E-27	70	71	71	12	121456914							
ENSG00000135124	P2RX4	-15.32467155	-0.052027633	5.23E-53	0.241118382	0.321972908	2.35E-58	6.10E-57	28	28	28	12	121647660							
ENSG00000157992	KRTCAP3	-14.77169779	-0.129575023	2.23E-49	0.039308752	0.069105917	4.72E-12	2.09E-11	24	25	25	2	27665233							
ENSG00000204385	SLC44A4	-11.89904301	-0.213518973	1.20E-32	0.008839659	0.017252749	0.000653613	0.001601259	7	7	7	6	31830969							
ENSG00000196126	HLA-DRB1	-11.46104555	-0.098965157	2.07E-30	0.038383382	0.203372895	7.11E-35	8.64E-34	25	31	31	6	32546546							
ENSG00000157895	C12orf43	11.38602169	0.06292659	4.91E-30	0.099856635	0.140122551	1.03E-23	8.15E-23	15	15	15	12	121438289							
ENSG00000134575	ACP2	11.250757	0.058896684	2.30E-29	0.11408979	0.166449276	2.93E-28	2.75E-27	17	18	18	11	47260853							
ENSG00000107798	LIPA	10.99176747	0.032912259	4.19E-28	0.305186955	0.407934961	4.51E-78	2.09E-76	17	17	17	10	90973326							
ENSG00000100242	SUN2	10.89417171	0.142613957	1.23E-27	0.017740308	0.028452536	1.14E-05	3.29E-05	11	11	11	22	39130730							
ENSG00000266970	AC061992.2	10.61437127	0.129092918	2.56E-26	0.021108671	0.03168742	3.55E-06	1.07E-05	8	8	8	NA	NA							
ENSG00000090621	PABPC4	-10.50547593	-0.135412812	8.15E-26	0.017347856	0.04416682	3.99E-08	1.39E-07	11	11	11	1	40026488							
ENSG00000240053	LY6G5B	-10.34755418	-0.048658236	4.29E-25	0.136949943	0.191446873	1.05E-32	1.17E-31	31	34	34	6	31637944							
ENSG00000235888	AF064858.1	10.29830199	0.061366927	7.17E-25	0.083315422	0.143167265	3.13E-24	2.54E-23	26	27	27	21	40360633							
ENSG00000100201	DDX17	-10.15442823	-0.046325952	3.17E-24	0.140998981	0.183037446	3.39E-31	3.59E-30	25	26	26	22	38879445							
ENSG00000138085	ATRAID	-10.06952031	-0.064147531	7.53E-24	0.074058661	0.121894445	1.22E-20	8.45E-20	8	8	8	2	27434895							
ENSG00000157557	ETS2	10.00001821	0.054754819	1.52E-23	0.098557662	0.14866627	3.57E-25	3.00E-24	23	24	24	21	40177231							
ENSG00000158716	DUSP23	-9.889468388	-0.127454148	4.62E-23	0.016021221	0.018135504	0.000473667	0.001176381	19	19	19	1	159750722							
ENSG00000087157	PGS1	-9.853844084	-0.207525654	6.60E-23	0.007384099	0.014233681	0.001978626	0.004593403	10	10	10	17	76374721							
ENSG00000100221	JOSD1	9.68312301	0.18687977	3.56E-22	0.007862843	0.016450485	0.000876394	0.002114418	7	7	7	22	39081548							
ENSG00000187775	DNAH17	-9.561771443	-0.104108713	1.16E-21	0.024254835	0.064361597	2.67E-11	1.14E-10	8	8	8	17	76419778							
ENSG00000186074	CD300LF	9.537332564	0.128575884	1.47E-21	0.015003784	0.018909923	0.000357294	0.000901594	6	6	6	17	72690450							
ENSG00000182179	UBA7	-9.525022817	-0.032644834	1.65E-21	0.244250494	0.302872939	2.59E-54	5.95E-53	14	14	14	3	49842640							
ENSG00000237541	HLA-DQA2	9.505963548	0.022930287	1.98E-21	0.465265358	0.733957601	3.09E-194	1.32E-190	86	93	93	6	32709119							
ENSG00000089163	SIRT4	-9.445562066	-0.117511289	3.54E-21	0.017105283	0.026805921	2.06E-05	5.82E-05	18	20	20	12	120740119							
ENSG00000186567	CEACAM19	-9.437170208	-0.091901332	3.83E-21	0.026756638	0.06218582	5.89E-11	2.47E-10	14	15	15	19	45165545							
ENSG00000138028	CGREF1	-9.408676109	-0.121958443	5.02E-21	0.018764296	0.025498504	3.29E-05	9.17E-05	15	15	15	2	27321757							
ENSG00000223522	AC093690.1	9.377760886	0.07265717	6.74E-21	0.047128766	0.085424053	1.16E-14	5.94E-14	5	5	5	2	28530558							
ENSG00000232837	LINC01700	9.269925514	0.084796359	1.86E-20	0.035619848	0.072225086	1.51E-12	6.87E-12	12	12	12	21	40346355							
ENSG00000228649	SNHG26	-9.190065981	-0.057554985	3.93E-20	0.07850104	0.14164393	5.69E-24	4.55E-23	7	7	7	7	22893797							
ENSG00000179639	FCER1A	-9.165170676	-0.110731478	4.95E-20	0.017606055	0.048912576	7.22E-09	2.64E-08	3	4	4	1	159259504							
ENSG00000116678	LEPR	-9.157317256	-0.057447755	5.32E-20	0.070019845	0.174562549	1.09E-29	1.08E-28	12	13	13	1	65886335							
ENSG00000198945	L3MBTL3	-9.135933201	-0.029660244	6.48E-20	0.254361998	0.41056014	1.02E-78	4.82E-77	15	17	17	6	130334844							
ENSG00000101246	ARFRP1	-9.108597176	-0.075162078	8.35E-20	0.038775166	0.064389325	2.64E-11	1.13E-10	13	14	14	20	62329995							
ENSG00000143595	AQP10	-9.107450155	-0.152657405	8.43E-20	0.010101277	0.015501821	0.001240842	0.002948073	5	5	5	1	154293566							
ENSG00000079459	FDFT1	9.105194567	0.086644141	8.61E-20	0.031658757	0.045476067	2.49E-08	8.79E-08	15	15	15	8	11653082							
ENSG00000183682	BMP8A	9.019695754	0.11898443	1.89E-19	0.016914092	0.024813378	4.22E-05	0.000116349	11	11	11	1	39957318							
ENSG00000204469	PRRC2A	8.967207414	0.112867846	3.04E-19	0.019190318	0.111618788	6.20E-19	3.96E-18	5	6	6	6	31588497							
ENSG00000162711	NLRP3	8.917472159	0.066264993	4.77E-19	0.049284429	0.073137915	1.08E-12	4.95E-12	20	21	21	1	247579458							
ENSG00000228274	AL021707.2	8.904380769	0.176380292	5.37E-19	0.007412539	0.016049667	0.001014963	0.002429254	4	4	4	22	39063590							
ENSG00000164077	MON1A	-8.67344103	-0.215702175	4.19E-18	0.004614336	0.043883917	4.42E-08	1.53E-07	9	13	13	3	49946295							
ENSG00000204410	MSH5	8.652620239	0.108451832	5.03E-18	0.017163671	0.023976669	5.70E-05	0.000155533	27	28	28	6	31707725							
ENSG00000255046	AC069185.1	-8.55285994	-0.110911103	1.20E-17	0.016296398	0.097961073	1.08E-16	6.16E-16	6	7	7	8	11655437							
ENSG00000004534	RBM6	-8.483814023	-0.021708733	2.18E-17	0.436424542	0.525142718	3.99E-110	4.62E-108	15	15	15	3	49977440							
ENSG00000260302	AP005482.1	-8.389587816	-0.049248874	4.88E-17	0.081729767	0.133933619	1.16E-22	8.77E-22	24	25	25	18	12774650							
ENSG00000138092	CENPO	8.323121476	0.027550804	8.57E-17	0.272889026	0.311193699	4.63E-56	1.13E-54	32	33	33	2	25016005							
ENSG00000203896	LIME1	-8.258901792	-0.119844247	1.47E-16	0.012381683	0.020084054	0.000233211	0.000600141	14	15	15	20	62367635							
ENSG00000166278	C2	-8.256629591	-0.068375438	1.50E-16	0.041009417	0.036560101	6.16E-07	1.97E-06	44	48	48	6	31865562							
ENSG00000110077	MS4A6A	8.21346841	0.052775809	2.15E-16	0.066147369	0.094485544	3.97E-16	2.19E-15	21	23	23	11	59939487							
ENSG00000213088	ACKR1	-8.205720572	-0.106535022	2.29E-16	0.016912054	0.03499832	1.08E-06	3.40E-06	17	18	18	1	159173097							
ENSG00000138031	ADCY3	8.197292979	0.022189145	2.46E-16	0.406562851	0.468073334	1.22E-93	9.13E-92	34	36	36	2	25042038							
ENSG00000160710	ADAR	8.18901247	0.06799309	2.63E-16	0.04256941	0.06147909	7.62E-11	3.18E-10	18	18	18	1	154554538							
ENSG00000138080	EMILIN1	8.136198456	0.126222845	4.08E-16	0.012069928	0.016971942	0.000724225	0.001762414	5	6	6	2	27301435							
ENSG00000188735	TMEM120B	-8.011750449	-0.108710576	1.13E-15	0.01594303	0.014483597	0.001804472	0.004211909	22	22	22	12	122150658							
ENSG00000231064	AC234582.1	-7.958208535	-0.056234776	1.75E-15	0.059061316	0.089885954	2.21E-15	1.18E-14	13	13	13	1	155164795							
ENSG00000110871	COQ5	7.949207757	0.047314811	1.88E-15	0.076290158	0.074124375	7.50E-13	3.49E-12	36	36	36	12	120941077							
ENSG00000115137	DNAJC27	7.81003378	0.036698461	5.72E-15	0.136695076	0.200653839	2.23E-34	2.68E-33	11	11	11	2	25166505							
ENSG00000158488	CD1E	-7.799672891	-0.088655163	6.21E-15	0.02250558	0.047201379	1.34E-08	4.81E-08	13	13	13	1	158323486							
ENSG00000158406	HIST1H4H	7.796444624	0.126391093	6.37E-15	0.010216592	0.024125101	5.40E-05	0.000147747	4	4	4	6	26277837							
ENSG00000204257	HLA-DMA	-7.713243722	-0.079256898	1.23E-14	0.019934263	0.022182011	0.000109049	0.000290159	25	27	27	6	32916390							
ENSG00000283064	AL353759.1	7.614868573	0.081697458	2.64E-14	0.025439092	0.054640607	9.11E-10	3.56E-09	8	8	8	6	26160993							
ENSG00000198837	DENND4B	-7.609957892	-0.05664623	2.74E-14	0.050583986	0.111590087	6.27E-19	4.00E-18	3	3	3	1	153901977							
ENSG00000187796	CARD9	7.5628292	0.03159878	3.94E-14	0.164301726	0.217085626	2.09E-37	2.78E-36	19	24	24	9	139256355							
ENSG00000108443	RPS6KB1	-7.497043999	-0.114650926	6.53E-14	0.012493523	0.026268755	2.49E-05	7.01E-05	8	11	11	17	57970407							
ENSG00000158373	HIST1H2BD	7.430632342	0.044234131	1.08E-13	0.079108143	0.142163964	4.64E-24	3.73E-23	4	4	4	6	26158374							
ENSG00000073737	DHRS9	7.38427237	0.029105341	1.53E-13	0.192997913	0.269561919	1.62E-47	2.99E-46	27	28	28	2	169921299							
ENSG00000077238	IL4R	-7.375797778	-0.042577676	1.63E-13	0.085716027	0.154893767	3.01E-26	2.65E-25	7	7	7	16	27324989							
ENSG00000116521	SCAMP3	-7.349752236	-0.103517974	1.99E-13	0.014502432	0.010232582	0.008787859	0.01878387	17	17	17	1	155225770							
ENSG00000258366	RTEL1	7.335241713	0.105441477	2.21E-13	0.012966306	0.029628789	7.44E-06	2.19E-05	10	10	10	20	62289163							
ENSG00000142233	NTN5	7.299054574	0.059895032	2.90E-13	0.042349641	0.049748905	5.34E-09	1.98E-08	34	34	34	19	49164664							
